result_scope,p,L,steps,trials,master_seed,confidence,generation,density_mean,density_ci_low,density_ci_high,activity_mean,activity_ci_low,activity_ci_high,period_detected_fraction,period_detected_ci_low,period_detected_ci_high,detected_period_mean
empirical_finite_size,0.1,32,200,12,20260727,0.95,0,0.09871419270833333,0.09486835617957251,0.10256002923709415,,,,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,10,0.0400390625,0.030841586778287647,0.04923653822171235,0.025227864583333332,0.017270169986008617,0.03318555918065805,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,20,0.049967447916666664,0.03789919816917719,0.06203569766415614,0.042561848958333336,0.02992158508383167,0.055202112832835,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,30,0.049641927083333336,0.035791838175725385,0.06349201599094129,0.035074869791666664,0.023181225785606503,0.046968513797726825,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,40,0.05078125,0.03389837556018227,0.06766412443981773,0.035888671875,0.018976027956023236,0.05280131579397676,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,50,0.050618489583333336,0.033208214719899376,0.0680287644467673,0.03369140625,0.019083226664105515,0.048299585835894485,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,60,0.04931640625,0.030262604525121833,0.06837020797487817,0.03271484375,0.016990387075495512,0.04843930042450449,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,70,0.05078125,0.03352602799817101,0.068036472001829,0.03857421875,0.021151726707454882,0.05599671079254512,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,80,0.049886067708333336,0.03286817969885515,0.06690395571781152,0.03466796875,0.019539005565129913,0.04979693193487009,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,90,0.053466796875,0.0333631239427775,0.0735704698072225,0.0361328125,0.017068089395296415,0.055197535604703585,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,100,0.05615234375,0.031087176652003137,0.08121751084799686,0.035970052083333336,0.014295021545984495,0.05764508262068217,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,110,0.054524739583333336,0.029256290880804666,0.079793188285862,0.035074869791666664,0.013441333540552713,0.056708406042780615,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,120,0.046793619791666664,0.027574543017449202,0.06601269656588413,0.029541015625,0.010818373231761064,0.04826365801823894,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
