candidate,direction,phase,lane,outcome,restored_generation,settled_generation,settled_period,population_at_stop
sl4x4_001,SW,0,3,changed_periodic,,51,1,0
sl4x4_001,SW,1,-6,changed_periodic,,32,1,0
sl4x4_001,SW,1,-5,changed_periodic,,32,1,0
sl4x4_001,SW,1,-4,changed_periodic,,105,1,6
sl4x4_001,SW,1,-3,unresolved_by_horizon,,,,136
sl4x4_001,SW,1,-2,changed_periodic,,34,1,6
sl4x4_001,SW,1,-1,changed_periodic,,36,1,6
sl4x4_001,SW,1,0,unresolved_by_horizon,,,,112
sl4x4_001,SW,1,1,changed_periodic,,115,1,6
sl4x4_001,SW,1,2,changed_periodic,,46,1,0
sl4x4_001,SW,1,3,changed_periodic,,50,1,0
sl4x4_001,SW,2,-6,changed_periodic,,31,1,0
sl4x4_001,SW,2,-5,changed_periodic,,31,1,0
sl4x4_001,SW,2,-4,changed_periodic,,104,1,6
sl4x4_001,SW,2,-3,unresolved_by_horizon,,,,133
sl4x4_001,SW,2,-2,changed_periodic,,33,1,6
sl4x4_001,SW,2,-1,changed_periodic,,35,1,6
sl4x4_001,SW,2,0,unresolved_by_horizon,,,,150
sl4x4_001,SW,2,1,changed_periodic,,114,1,6
sl4x4_001,SW,2,2,changed_periodic,,45,1,0
sl4x4_001,SW,2,3,changed_periodic,,49,1,0
sl4x4_001,SW,3,-6,changed_periodic,,30,1,0
sl4x4_001,SW,3,-5,changed_periodic,,30,1,0
sl4x4_001,SW,3,-4,changed_periodic,,103,1,6
sl4x4_001,SW,3,-3,unresolved_by_horizon,,,,124
sl4x4_001,SW,3,-2,changed_periodic,,32,1,6
sl4x4_001,SW,3,-1,changed_periodic,,34,1,6
sl4x4_001,SW,3,0,unresolved_by_horizon,,,,130
sl4x4_001,SW,3,1,changed_periodic,,113,1,6
sl4x4_001,SW,3,2,changed_periodic,,44,1,0
sl4x4_001,SW,3,3,changed_periodic,,48,1,0
sl4x4_001,NW,0,-5,changed_periodic,,51,1,0
sl4x4_001,NW,0,-4,changed_periodic,,47,1,0
sl4x4_001,NW,0,-3,changed_periodic,,116,1,6
sl4x4_001,NW,0,-2,unresolved_by_horizon,,,,118
sl4x4_001,NW,0,-1,changed_periodic,,37,1,6
sl4x4_001,NW,0,0,changed_periodic,,35,1,6
sl4x4_001,NW,0,1,unresolved_by_horizon,,,,131
sl4x4_001,NW,0,2,changed_periodic,,106,1,6
sl4x4_001,NW,0,3,changed_periodic,,33,1,0
sl4x4_001,NW,0,4,changed_periodic,,33,1,0
sl4x4_001,NW,1,-5,changed_periodic,,50,1,0
sl4x4_001,NW,1,-4,changed_periodic,,46,1,0
sl4x4_001,NW,1,-3,changed_periodic,,115,1,6
sl4x4_001,NW,1,-2,unresolved_by_horizon,,,,112
sl4x4_001,NW,1,-1,changed_periodic,,36,1,6
sl4x4_001,NW,1,0,changed_periodic,,34,1,6
sl4x4_001,NW,1,1,unresolved_by_horizon,,,,136
sl4x4_001,NW,1,2,changed_periodic,,105,1,6
sl4x4_001,NW,1,3,changed_periodic,,32,1,0
sl4x4_001,NW,1,4,changed_periodic,,32,1,0
sl4x4_001,NW,2,-5,changed_periodic,,49,1,0
