candidate,population,pattern,attack_count,attacks_tried,excluded,witness_direction,witness_phase,witness_lane,witness_settled_generation,witness_period
sl6x6_053,10,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,0],[4,1],[5,0],[5,1]]",240,2,True,SE,0,-8,242,2
sl6x6_054,10,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,1],[4,2],[5,1],[5,2]]",240,1,True,SE,0,-8,113,2
sl6x6_055,10,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,2],[4,3],[5,2],[5,3]]",240,2,True,SE,0,-6,61,1
sl6x6_056,10,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,3],[4,4],[5,3],[5,4]]",240,1,True,SE,0,-6,61,1
sl6x6_057,10,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,4],[4,5],[5,4],[5,5]]",240,1,True,SE,0,-5,56,1
sl6x6_058,10,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,5],[3,3],[4,3],[4,4]]",232,3,True,SE,0,-3,70,1
sl6x6_059,10,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,5],[3,4],[4,4],[4,5]]",240,1,True,SE,0,-5,396,1
sl6x6_060,10,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,3],[3,5],[4,3],[4,4]]",224,1,True,SE,0,-5,93,1
sl6x6_061,10,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,5],[4,3],[5,3],[5,4]]",240,1,True,SE,0,-6,62,1
sl6x6_062,10,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,5],[4,4],[5,4],[5,5]]",240,1,True,SE,0,-5,75,1
sl6x6_063,10,"[[0,0],[0,1],[1,0],[1,1],[2,4],[3,3],[3,5],[4,2],[4,4],[5,3]]",224,1,True,SE,0,-6,62,1
sl6x6_064,10,"[[0,0],[0,1],[1,0],[1,1],[2,4],[3,3],[3,5],[4,3],[4,5],[5,4]]",224,3,True,SE,0,-3,70,1
sl6x6_065,10,"[[0,0],[0,1],[1,0],[1,1],[3,3],[3,4],[4,3],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,98,1
sl6x6_066,10,"[[0,0],[0,1],[1,0],[1,1],[3,4],[3,5],[4,3],[4,5],[5,3],[5,4]]",232,1,True,SE,0,-6,62,1
sl6x6_067,10,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,108,2
sl6x6_068,10,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,3],[4,2],[5,2],[5,3]]",224,1,True,SE,0,-7,79,1
sl6x6_069,10,"[[0,0],[0,1],[1,0],[1,2],[2,1],[3,4],[3,5],[4,3],[4,5],[5,4]]",224,1,True,SE,0,-5,62,1
sl6x6_070,10,"[[0,0],[0,1],[1,0],[1,2],[2,1],[3,4],[4,3],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,62,1
sl6x6_071,10,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[4,1],[4,3],[5,2],[5,3]]",224,1,True,SE,0,-7,174,1
sl6x6_072,10,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[4,2],[4,3],[4,4],[5,4]]",224,1,True,SE,0,-6,81,2
sl6x6_073,10,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,4],[3,5],[4,3],[4,5]]",224,1,True,SE,0,-5,74,1
sl6x6_074,10,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,4],[4,3],[4,5],[5,4]]",216,1,True,SE,0,-5,101,3
sl6x6_075,10,"[[0,0],[0,1],[1,0],[1,2],[2,3],[3,4],[4,1],[4,2],[4,3],[5,1]]",224,1,True,SE,0,-8,88,2
sl6x6_076,10,"[[0,0],[0,1],[1,0],[1,2],[2,3],[3,4],[4,2],[4,4],[5,2],[5,3]]",224,1,True,SE,0,-7,139,2
sl6x6_077,10,"[[0,0],[0,1],[1,1],[1,4],[2,1],[2,3],[2,5],[3,2],[3,4],[4,3]]",216,1,True,SE,0,-5,82,1
sl6x6_078,10,"[[0,0],[0,1],[1,1],[2,0],[3,0],[3,1],[3,4],[4,3],[4,5],[5,4]]",232,1,True,SE,0,-7,64,1
sl6x6_079,10,"[[0,0],[0,1],[1,1],[2,1],[2,3],[2,4],[3,2],[3,5],[4,3],[4,4]]",216,1,True,SE,0,-5,102,1
sl6x6_080,10,"[[0,0],[0,1],[1,1],[2,1],[2,3],[3,2],[3,4],[4,3],[4,5],[5,4]]",216,2,True,SE,0,-4,61,1
sl6x6_081,10,"[[0,0],[0,1],[1,1],[2,1],[2,3],[3,2],[3,4],[4,4],[5,4],[5,5]]",224,1,True,SE,0,-5,66,1
sl6x6_082,10,"[[0,1],[0,2],[1,0],[1,2],[2,0],[2,1],[3,4],[4,3],[4,5],[5,4]]",224,1,True,SE,0,-6,164,2
sl6x6_083,10,"[[0,1],[0,2],[1,0],[1,2],[2,1],[3,4],[3,5],[4,3],[4,5],[5,4]]",216,1,True,SE,0,-5,58,1
sl6x6_084,10,"[[0,1],[0,2],[1,0],[1,2],[2,1],[3,4],[4,3],[4,5],[5,3],[5,4]]",224,1,True,SE,0,-6,78,1
sl6x6_085,10,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[2,4],[3,1],[3,3],[4,2]]",200,4,True,SE,0,-3,54,1
sl6x6_086,10,"[[0,1],[0,2],[1,0],[1,3],[2,1],[2,2],[4,1],[4,2],[5,1],[5,2]]",224,1,True,SE,0,-8,88,2
sl6x6_087,10,"[[0,1],[0,2],[1,2],[2,0],[3,0],[3,1],[3,4],[4,3],[4,5],[5,4]]",232,1,True,SE,0,-7,64,1
sl6x6_088,10,"[[0,1],[1,0],[1,2],[2,1],[2,2],[3,3],[3,4],[4,3],[4,5],[5,4]]",208,1,True,SE,0,-5,98,1
sl6x6_089,10,"[[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3],[4,5],[5,4]]",208,1,True,SE,0,-5,165,1
sl6x6_090,11,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,4],[3,5],[4,4],[4,5]]",240,1,True,SE,0,-5,100,2
sl6x6_091,11,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[1,5],[2,1],[2,4],[3,0],[3,1]]",232,1,True,SE,0,-7,72,2
sl6x6_092,11,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[1,5],[2,1],[2,4],[3,2],[3,3]]",216,2,True,SE,0,-4,67,1
sl6x6_093,11,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,0],[2,3],[3,0],[3,2],[4,1]]",224,1,True,SE,0,-7,79,2
sl6x6_094,11,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,5],[2,4],[3,3],[4,3],[4,4]]",240,2,True,SE,0,-4,348,2
sl6x6_095,11,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,2],[1,5],[2,2],[2,4],[3,2],[3,3]]",224,1,True,SE,0,-5,70,1
sl6x6_096,11,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,5],[3,4],[4,3],[5,3],[5,4]]",248,1,True,SE,0,-6,62,1
sl6x6_097,11,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,3],[3,5],[4,2],[4,4],[5,3]]",232,1,True,SE,0,-6,62,1
sl6x6_098,11,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,3],[3,5],[4,3],[5,2],[5,3]]",240,2,True,SE,0,-6,62,1
sl6x6_099,11,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,4],[4,2],[4,4],[5,2],[5,3]]",240,1,True,SE,0,-7,100,1
sl6x6_100,11,"[[0,0],[0,1],[1,0],[1,1],[2,4],[3,3],[3,5],[4,2],[4,5],[5,3],[5,4]]",232,1,True,SE,0,-6,62,1
sl6x6_101,11,"[[0,0],[0,1],[1,0],[1,2],[1,4],[1,5],[2,2],[2,4],[3,2],[3,4],[4,3]]",224,1,True,SE,0,-5,87,2
sl6x6_102,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,2],[3,3],[3,4],[4,3],[4,5],[5,4]]",216,1,True,SE,0,-5,67,1
sl6x6_103,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3],[4,5],[5,4]]",216,3,True,SE,0,-3,54,1
sl6x6_104,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,4],[5,4],[5,5]]",224,2,True,SE,0,-4,243,2
sl6x6_105,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,3],[4,3],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,65,1
sl6x6_106,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,4],[2,5],[3,5],[4,3],[5,3],[5,4]]",240,1,True,SE,0,-6,72,2
sl6x6_107,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,4],[2,5],[3,5],[4,4],[5,4],[5,5]]",240,1,True,SE,0,-5,62,1
sl6x6_108,11,"[[0,0],[0,1],[1,0],[1,2],[2,1],[3,4],[3,5],[4,3],[4,5],[5,3],[5,4]]",232,1,True,SE,0,-6,72,1
sl6x6_109,11,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,3],[3,4],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,182,2
sl6x6_110,11,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,4],[3,5],[4,3],[4,5],[5,4]]",224,2,True,SE,0,-4,69,1
sl6x6_111,11,"[[0,0],[0,1],[1,1],[1,4],[1,5],[2,1],[2,3],[2,5],[3,2],[3,4],[4,3]]",224,2,True,SE,0,-4,60,2
sl6x6_112,11,"[[0,0],[0,1],[1,1],[1,4],[2,1],[2,3],[2,5],[3,2],[3,5],[4,3],[4,4]]",224,1,True,SE,0,-5,69,2
sl6x6_113,11,"[[0,0],[0,1],[1,1],[2,0],[3,0],[3,1],[3,4],[3,5],[4,3],[4,5],[5,4]]",240,1,True,SE,0,-7,64,1
sl6x6_114,11,"[[0,0],[0,1],[1,1],[2,1],[2,3],[2,4],[3,0],[3,1],[3,3],[3,5],[4,4]]",232,2,True,SE,0,-6,62,1
sl6x6_115,11,"[[0,0],[0,1],[1,1],[2,1],[2,3],[2,4],[3,2],[3,5],[4,3],[4,5],[5,4]]",224,4,True,SE,0,-2,496,2
sl6x6_116,11,"[[0,1],[0,2],[1,0],[1,2],[2,0],[2,1],[3,4],[3,5],[4,3],[4,5],[5,4]]",224,1,True,SE,0,-6,179,2
sl6x6_117,11,"[[0,1],[0,2],[1,0],[1,2],[2,1],[3,4],[3,5],[4,2],[4,5],[5,2],[5,3]]",232,1,True,SE,0,-7,279,1
sl6x6_118,11,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[2,4],[3,1],[3,4],[4,2],[4,3]]",208,1,True,SE,0,-6,103,2
sl6x6_119,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,4],[4,0],[4,1],[5,0],[5,1]]",248,2,True,SE,0,-8,142,1
sl6x6_120,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,4],[4,1],[4,2],[5,1],[5,2]]",248,2,True,SE,0,-7,131,2
sl6x6_121,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,4],[4,4],[4,5],[5,4],[5,5]]",248,1,True,SE,0,-5,83,1
sl6x6_122,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,5],[2,3],[2,5],[3,3],[3,4]]",224,1,True,SE,0,-5,128,2
sl6x6_123,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,5],[2,5],[3,4],[4,4],[4,5]]",240,1,True,SE,0,-5,126,2
sl6x6_124,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,3],[3,0],[3,1],[3,2],[4,0]]",232,1,True,SE,0,-8,77,2
sl6x6_125,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,3],[3,3],[3,5],[4,4],[4,5]]",240,4,True,SE,0,-2,86,1
sl6x6_126,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,4],[2,1],[2,3],[3,0],[3,1],[3,3],[3,4]]",240,1,True,SE,0,-7,97,2
sl6x6_127,12,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[1,5],[2,1],[2,4],[2,5],[3,0],[3,1]]",240,1,True,SE,0,-7,69,2
sl6x6_128,12,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,1],[2,3],[3,0],[3,1],[3,3],[3,4]]",240,1,True,SE,0,-7,75,1
sl6x6_129,12,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,1],[2,5],[3,0],[3,1],[3,4],[3,5]]",248,1,True,SE,0,-7,73,1
sl6x6_130,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[2,4],[2,5],[3,4],[4,5],[5,4],[5,5]]",240,1,True,SE,0,-5,63,1
sl6x6_131,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[3,1],[3,2],[3,4],[4,1],[4,3],[4,4]]",240,1,True,SE,0,-7,351,1
sl6x6_132,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,0],[4,1],[4,3],[5,0],[5,2],[5,3]]",256,1,True,SE,0,-9,106,2
sl6x6_133,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,0],[4,2],[4,3],[5,0],[5,1],[5,3]]",256,1,True,SE,0,-9,72,1
sl6x6_134,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,1],[4,2],[4,4],[5,1],[5,3],[5,4]]",256,1,True,SE,0,-8,196,1
sl6x6_135,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,1],[4,3],[4,4],[5,1],[5,2],[5,4]]",256,1,True,SE,0,-8,72,1
sl6x6_136,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,2],[4,3],[4,5],[5,2],[5,4],[5,5]]",256,2,True,SE,0,-6,61,1
sl6x6_137,12,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3],[4,2],[4,4],[4,5],[5,2],[5,3],[5,5]]",256,1,True,SE,0,-7,72,1
sl6x6_138,12,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,4],[1,5],[4,0],[4,1],[5,0],[5,1]]",256,1,True,SE,0,-9,163,2
sl6x6_139,12,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,4],[1,5],[4,1],[4,2],[5,1],[5,2]]",256,1,True,SE,0,-8,87,1
sl6x6_140,12,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,4],[1,5],[4,2],[4,3],[5,2],[5,3]]",256,1,True,SE,0,-7,257,2
sl6x6_141,12,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,4],[2,5],[3,3],[3,5],[4,3],[4,4]]",240,3,True,SE,0,-3,133,2
sl6x6_142,12,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,5],[2,4],[3,3],[4,2],[5,2],[5,3]]",256,1,True,SE,0,-7,86,1
sl6x6_143,12,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,2],[1,5],[2,2],[2,4],[3,1],[3,3],[4,2]]",232,1,True,SE,0,-6,71,1
sl6x6_144,12,"[[0,0],[0,1],[0,4],[1,0],[1,3],[1,5],[2,1],[2,3],[2,5],[3,2],[3,4],[4,3]]",224,1,True,SE,0,-5,71,1
sl6x6_145,12,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,4],[2,5],[4,1],[4,2],[5,1],[5,2]]",248,1,True,SE,0,-8,83,1
sl6x6_146,12,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,4],[3,5],[4,2],[4,3],[4,4],[5,2]]",248,1,True,SE,0,-7,81,2
sl6x6_147,12,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,4],[3,5],[4,3],[4,5],[5,3],[5,4]]",248,1,True,SE,0,-6,62,1
sl6x6_148,12,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,5],[3,4],[4,1],[4,3],[5,1],[5,2]]",248,1,True,SE,0,-8,73,1
sl6x6_149,12,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,3],[3,5],[4,2],[4,4],[5,2],[5,3]]",240,1,True,SE,0,-7,85,2
sl6x6_150,12,"[[0,0],[0,1],[1,0],[1,2],[1,4],[1,5],[2,1],[2,2],[2,4],[3,4],[4,4],[4,5]]",240,1,True,SE,0,-5,84,2
sl6x6_151,12,"[[0,0],[0,1],[1,0],[1,2],[1,4],[1,5],[2,2],[2,4],[2,5],[3,2],[4,1],[4,2]]",240,1,True,SE,0,-7,75,1
sl6x6_152,12,"[[0,0],[0,1],[1,0],[1,2],[1,4],[1,5],[2,2],[2,4],[3,1],[3,4],[4,2],[4,3]]",232,1,True,SE,0,-6,80,1
sl6x6_153,12,"[[0,0],[0,1],[1,0],[1,2],[1,4],[1,5],[2,2],[2,4],[3,2],[3,5],[4,3],[4,4]]",232,1,True,SE,0,-5,70,1
sl6x6_154,12,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,2],[3,3],[3,4],[4,3],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,67,1
sl6x6_155,12,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3],[4,5],[5,4],[5,5]]",224,44,True,SW,0,-10,46,1
sl6x6_156,12,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[3,3],[3,4],[4,1],[4,4],[5,2],[5,3]]",224,2,True,SE,0,-6,77,2
sl6x6_157,12,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[3,3],[3,4],[4,2],[4,5],[5,3],[5,4]]",224,1,True,SE,0,-6,99,2
sl6x6_158,12,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[3,3],[3,4],[4,2],[4,5],[5,4],[5,5]]",232,2,True,SE,0,-5,79,1
sl6x6_159,12,"[[0,0],[0,1],[1,0],[1,2],[2,3],[3,1],[3,2],[3,4],[4,1],[4,4],[5,2],[5,3]]",224,1,True,SE,0,-7,167,1
sl6x6_160,12,"[[0,0],[0,1],[1,0],[1,3],[2,2],[2,3],[4,2],[4,3],[4,4],[4,5],[5,2],[5,5]]",248,1,True,SE,0,-7,207,2
sl6x6_161,12,"[[0,0],[0,1],[1,1],[1,4],[1,5],[2,0],[2,5],[3,0],[3,1],[3,4],[4,4],[4,5]]",256,1,True,SE,0,-7,64,1
sl6x6_162,12,"[[0,0],[0,1],[1,1],[1,4],[2,1],[2,3],[2,5],[3,0],[3,1],[3,3],[3,5],[4,4]]",240,1,True,SE,0,-7,95,2
sl6x6_163,12,"[[0,0],[0,1],[1,1],[1,5],[2,1],[2,3],[2,4],[2,5],[3,2],[4,3],[5,2],[5,3]]",248,2,True,SE,0,-6,91,2
sl6x6_164,12,"[[0,0],[0,1],[1,1],[2,0],[2,4],[2,5],[3,0],[3,1],[3,5],[4,4],[5,4],[5,5]]",256,1,True,SE,0,-7,64,1
sl6x6_165,12,"[[0,0],[0,1],[1,1],[2,0],[3,0],[3,1],[3,4],[3,5],[4,2],[4,5],[5,2],[5,3]]",240,2,True,SE,0,-6,93,1
sl6x6_166,12,"[[0,0],[0,1],[1,1],[2,0],[3,0],[3,1],[4,2],[4,4],[4,5],[5,2],[5,3],[5,5]]",240,1,True,SE,0,-7,105,1
