candidate,population,pattern,attack_count,attacks_tried,excluded,witness_direction,witness_phase,witness_lane,witness_settled_generation,witness_period
sl6x6_000,4,"[[0,0],[0,1],[1,0],[1,1]]",160,1,True,SE,0,-5,73,1
sl6x6_001,4,"[[0,1],[1,0],[1,2],[2,1]]",160,1,True,SE,0,-5,59,1
sl6x6_002,5,"[[0,0],[0,1],[1,0],[1,2],[2,1]]",168,1,True,SE,0,-5,62,1
sl6x6_003,6,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3]]",192,1,True,SE,0,-5,56,1
sl6x6_004,6,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,2]]",176,1,True,SE,0,-5,205,1
sl6x6_005,6,"[[0,0],[0,1],[1,0],[1,3],[2,2],[2,3]]",192,1,True,SE,0,-5,56,1
sl6x6_006,6,"[[0,1],[0,2],[1,0],[1,3],[2,1],[2,2]]",176,1,True,SE,0,-5,57,1
sl6x6_007,6,"[[0,1],[1,0],[1,2],[2,1],[2,3],[3,2]]",176,1,True,SE,0,-5,100,1
sl6x6_008,7,"[[0,0],[0,1],[1,0],[1,2],[1,4],[2,3],[2,4]]",208,1,True,SE,0,-5,56,1
sl6x6_009,7,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2]]",184,1,True,SE,0,-5,74,2
sl6x6_010,7,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,3]]",192,1,True,SE,0,-5,468,2
sl6x6_011,7,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[3,1]]",184,1,True,SE,0,-6,165,1
sl6x6_012,8,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,4]]",208,3,True,SE,0,-3,76,1
sl6x6_013,8,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,1],[1,4],[1,5]]",224,1,True,SE,0,-5,81,1
sl6x6_014,8,"[[0,0],[0,1],[1,0],[1,1],[1,4],[1,5],[2,4],[2,5]]",224,1,True,SE,0,-5,81,1
sl6x6_015,8,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,4],[3,5]]",224,1,True,SE,0,-5,98,1
sl6x6_016,8,"[[0,0],[0,1],[1,0],[1,1],[2,4],[3,3],[3,5],[4,4]]",216,3,True,SE,0,-3,70,1
sl6x6_017,8,"[[0,0],[0,1],[1,0],[1,1],[3,3],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,98,1
sl6x6_018,8,"[[0,0],[0,1],[1,0],[1,1],[3,4],[3,5],[4,4],[4,5]]",224,1,True,SE,0,-5,73,1
sl6x6_019,8,"[[0,0],[0,1],[1,0],[1,1],[3,4],[4,3],[4,5],[5,4]]",216,2,True,SE,0,-4,199,2
sl6x6_020,8,"[[0,0],[0,1],[1,0],[1,1],[4,4],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,86,1
sl6x6_021,8,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,3]]",192,3,True,SE,0,-3,52,1
sl6x6_022,8,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[4,1],[4,2]]",208,1,True,SE,0,-7,105,1
sl6x6_023,8,"[[0,0],[0,1],[1,0],[1,2],[2,3],[2,5],[3,4],[3,5]]",224,1,True,SE,0,-5,57,1
sl6x6_024,8,"[[0,0],[0,1],[1,0],[1,2],[2,3],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,57,1
sl6x6_025,8,"[[0,0],[0,1],[1,1],[2,0],[3,1],[3,2],[3,3],[4,3]]",208,1,True,SE,0,-6,68,1
sl6x6_026,8,"[[0,0],[0,1],[1,1],[2,1],[2,3],[3,2],[3,4],[4,3]]",200,1,True,SE,0,-5,65,1
sl6x6_027,8,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,3],[3,1],[3,2]]",192,1,True,SE,0,-6,346,2
sl6x6_028,8,"[[0,1],[0,2],[1,0],[1,3],[2,1],[2,4],[3,2],[3,3]]",192,1,True,SE,0,-5,57,1
sl6x6_029,8,"[[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3]]",192,1,True,SE,0,-5,66,1
sl6x6_030,8,"[[0,1],[1,0],[1,2],[2,1],[3,4],[4,3],[4,5],[5,4]]",208,1,True,SE,0,-5,59,1
sl6x6_031,9,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,5],[2,4]]",216,3,True,SE,0,-3,55,1
sl6x6_032,9,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,1],[2,3],[3,2]]",208,2,True,SE,0,-4,185,2
sl6x6_033,9,"[[0,0],[0,1],[0,4],[0,5],[1,0],[1,2],[1,5],[2,3],[2,4]]",224,1,True,SE,0,-5,56,1
sl6x6_034,9,"[[0,0],[0,1],[1,0],[1,1],[2,4],[2,5],[3,3],[3,5],[4,4]]",224,1,True,SE,0,-5,96,2
sl6x6_035,9,"[[0,0],[0,1],[1,0],[1,1],[2,4],[3,3],[3,5],[4,3],[4,4]]",216,3,True,SE,0,-3,70,1
sl6x6_036,9,"[[0,0],[0,1],[1,0],[1,1],[2,4],[3,3],[3,5],[4,4],[4,5]]",224,3,True,SE,0,-3,70,1
sl6x6_037,9,"[[0,0],[0,1],[1,0],[1,1],[3,3],[3,4],[4,3],[4,5],[5,4]]",216,1,True,SE,0,-5,99,2
sl6x6_038,9,"[[0,0],[0,1],[1,0],[1,1],[3,4],[3,5],[4,3],[4,5],[5,4]]",224,3,True,SE,0,-3,70,1
sl6x6_039,9,"[[0,0],[0,1],[1,0],[1,1],[3,4],[4,3],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,101,1
sl6x6_040,9,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3]]",200,3,True,SE,0,-3,53,2
sl6x6_041,9,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,3],[4,3],[4,4]]",208,1,True,SE,0,-5,64,2
sl6x6_042,9,"[[0,0],[0,1],[1,0],[1,2],[2,1],[3,4],[4,3],[4,5],[5,4]]",216,1,True,SE,0,-5,62,1
sl6x6_043,9,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,254,2
sl6x6_044,9,"[[0,0],[0,1],[1,0],[1,2],[2,3],[3,4],[4,5],[5,4],[5,5]]",224,1,True,SE,0,-5,58,1
sl6x6_045,9,"[[0,0],[0,1],[1,1],[1,4],[1,5],[2,1],[2,3],[2,5],[3,2]]",224,1,True,SE,0,-5,61,1
sl6x6_046,9,"[[0,0],[0,1],[1,1],[2,0],[3,0],[3,2],[4,1],[4,3],[5,2]]",216,2,True,SE,0,-6,63,1
sl6x6_047,9,"[[0,0],[0,1],[1,1],[2,1],[2,3],[2,4],[3,2],[3,4],[4,3]]",208,2,True,SE,0,-4,59,1
sl6x6_048,9,"[[0,1],[0,2],[1,0],[1,2],[2,1],[3,4],[4,3],[4,5],[5,4]]",216,1,True,SE,0,-5,58,1
sl6x6_049,10,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,5],[2,4],[2,5]]",224,2,True,SE,0,-4,243,2
sl6x6_050,10,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,3],[3,3],[3,4]]",224,2,True,SE,0,-4,226,2
sl6x6_051,10,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,5],[3,4],[3,5]]",232,1,True,SE,0,-5,100,2
sl6x6_052,10,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,0],[2,3],[3,1],[3,2]]",216,1,True,SE,0,-6,105,2
