direction,phase,lane,outcome,restored_generation,settled_generation,settled_period,population_at_stop
NE,0,3,changed_periodic,,44,1,0
NE,0,4,changed_periodic,,70,1,0
NE,0,5,unresolved_by_horizon,,,,92
NE,0,6,changed_periodic,,73,1,24
NE,1,-3,changed_periodic,,54,1,24
NE,1,-2,unresolved_by_horizon,,,,99
NE,1,-1,changed_periodic,,59,1,0
NE,1,0,changed_periodic,,37,1,0
NE,1,1,changed_periodic,,38,1,0
NE,1,2,changed_periodic,,40,1,0
NE,1,3,changed_periodic,,43,1,0
NE,1,4,changed_periodic,,69,1,0
NE,1,5,unresolved_by_horizon,,,,102
NE,1,6,changed_periodic,,72,1,24
NE,2,-3,changed_periodic,,53,1,24
NE,2,-2,unresolved_by_horizon,,,,99
NE,2,-1,changed_periodic,,58,1,0
NE,2,0,changed_periodic,,36,1,0
NE,2,1,changed_periodic,,37,1,0
NE,2,2,changed_periodic,,39,1,0
NE,2,3,changed_periodic,,42,1,0
NE,2,4,changed_periodic,,68,1,0
NE,2,5,unresolved_by_horizon,,,,118
NE,2,6,changed_periodic,,71,1,24
NE,3,-3,changed_periodic,,52,1,24
NE,3,-2,unresolved_by_horizon,,,,129
NE,3,-1,changed_periodic,,57,1,0
NE,3,0,changed_periodic,,35,1,0
NE,3,1,changed_periodic,,36,1,0
NE,3,2,changed_periodic,,38,1,0
NE,3,3,changed_periodic,,41,1,0
NE,3,4,changed_periodic,,67,1,0
NE,3,5,unresolved_by_horizon,,,,136
NE,3,6,changed_periodic,,70,1,24
